,alert_id,CVE_list
0,AA22-321A,CVE-2020-12812
0,AA22-321A,CVE-2021-31207
0,AA22-321A,CVE-2021-34473
0,AA22-321A,CVE-2021-34523
0,AA22-321A,CVE-2021-42321
1,AA22-320A,CVE-2021-44228
3,AA22-279A,CVE-2021-44228
3,AA22-279A,CVE-2019-11510
3,AA22-279A,CVE-2021-22205
3,AA22-279A,CVE-2022-26134
3,AA22-279A,CVE-2021-26855
3,AA22-279A,CVE-2020-5902
3,AA22-279A,CVE-2021-22005
3,AA22-279A,CVE-2019-19781
3,AA22-279A,CVE-2021-1497
3,AA22-279A,CVE-2021-20090
3,AA22-279A,CVE-2021-26084
3,AA22-279A,CVE-2021-36260
3,AA22-279A,CVE-2021-42237
3,AA22-279A,CVE-2022-1388
3,AA22-279A,CVE-2022-24112
3,AA22-279A,CVE-2021-40539
3,AA22-279A,CVE-2021-26857
3,AA22-279A,CVE-2021-26858
3,AA22-279A,CVE-2021-27065
3,AA22-279A,CVE-2021-41773
3,AA22-279A,CVE-2021-26412
3,AA22-279A,CVE-2021-26854
3,AA22-279A,CVE-2021-27078
3,AA22-279A,CVE-2021-42013
4,AA22-277A,CVE-2021-26855
4,AA22-277A,CVE-2021-26857
4,AA22-277A,CVE-2021-26858
4,AA22-277A,CVE-2021-27065
6,AA22-264A,CVE-2019-0604
7,AA22-257A,CVE-2018-13379
7,AA22-257A,CVE-2020-12812
7,AA22-257A,CVE-2019-5591
7,AA22-257A,CVE-2021-34473
7,AA22-257A,CVE-2021-34523
7,AA22-257A,CVE-2021-31207
7,AA22-257A,CVE-2021-44228
7,AA22-257A,CVE-2021-45046
7,AA22-257A,CVE-2021-45105
7,AA22-257A,CVE-2021-
7,AA22-257A,CVE-2021-31206
7,AA22-257A,CVE-2021-33768
7,AA22-257A,CVE-2021-33766
7,AA22-257A,CVE-2021-34470
7,AA22-257A,CVE-2021-31196
8,AA22-249A,CVE-2021-1675
8,AA22-249A,CVE-2021-34527
9,AA22-228A,CVE-2022-24682
9,AA22-228A,CVE-2022-27924
9,AA22-228A,CVE-2022-27925
9,AA22-228A,CVE-2022-37042
9,AA22-228A,CVE-2022-30333
9,AA22-228A,CVE-2022-3033
11,AA22-216A,CVE-2021-40444
14,AA22-174A,CVE-2021-44228
14,AA22-174A,CVE-2022-22954
14,AA22-174A,CVE-2022-22960
15,AA22-158A,CVE-2018-0171
15,AA22-158A,CVE-2019-15271
15,AA22-158A,CVE-2019-1652
15,AA22-158A,CVE-2019-19781
15,AA22-158A,CVE-2020-8515
15,AA22-158A,CVE-2019-16920
15,AA22-158A,CVE-2018-13382
15,AA22-158A,CVE-2018-14847
15,AA22-158A,CVE-2017-6862
15,AA22-158A,CVE-2019-11510
15,AA22-158A,CVE-2021-22893
15,AA22-158A,CVE-2019-7192
15,AA22-158A,CVE-2019-7193
15,AA22-158A,CVE-2019-7194
15,AA22-158A,CVE-2019-7195
15,AA22-158A,CVE-2020-29583
16,AA22-152A,CVE-2021-44228
17,AA22-138B,CVE-2022-22954
17,AA22-138B,CVE-2022-22960
17,AA22-138B,CVE-2022-22972
17,AA22-138B,CVE-2022-22973
18,AA22-138A,CVE-2022-1388
21,AA22-117A,CVE-2021-44228
21,AA22-117A,CVE-2021-26855
21,AA22-117A,CVE-2021-26858
21,AA22-117A,CVE-2021-26857
21,AA22-117A,CVE-2021-27065
21,AA22-117A,CVE-2021-34523
21,AA22-117A,CVE-2021-34473
21,AA22-117A,CVE-2021-31207
21,AA22-117A,CVE-2021-26084
21,AA22-117A,CVE-2020-1472
21,AA22-117A,CVE-2018-13379
21,AA22-117A,CVE-2019-11510
21,AA22-117A,CVE-2021-40539
21,AA22-117A,CVE-2021-21972
21,AA22-117A,CVE-2020-0688
21,AA22-117A,CVE-2019-19781
21,AA22-117A,CVE-2019-18935
21,AA22-117A,CVE-2017-11882
21,AA22-117A,CVE-2021-42237
21,AA22-117A,CVE-2021-35464
21,AA22-117A,CVE-2021-27104
21,AA22-117A,CVE-2021-27103
21,AA22-117A,CVE-2021-27102
21,AA22-117A,CVE-2021-27101
21,AA22-117A,CVE-2021-21985
21,AA22-117A,CVE-2021-20038
21,AA22-117A,CVE-2021-40444
21,AA22-117A,CVE-2021-34527
21,AA22-117A,CVE-2021-3156
21,AA22-117A,CVE-2021-27852
21,AA22-117A,CVE-2021-22893
21,AA22-117A,CVE-2021-20016
21,AA22-117A,CVE-2021-1675
21,AA22-117A,CVE-2020-2509
21,AA22-117A,CVE-2018-0171
21,AA22-117A,CVE-2017-0199
24,AA22-103A,CVE-2020-15368
27,AA22-074A,CVE-2021-34527
29,AA22-055A,CVE-2020-1472
29,AA22-055A,CVE-2020-0688
29,AA22-055A,CVE-2017-0199
31,AA22-047A,CVE-2020-0688
31,AA22-047A,CVE-2020-17144
31,AA22-047A,CVE-2018-13379
33,AA22-011A,CVE-2018-13379
33,AA22-011A,CVE-2019-1653
33,AA22-011A,CVE-2019-2725
33,AA22-011A,CVE-2019-7609
33,AA22-011A,CVE-2019-9670
33,AA22-011A,CVE-2019-10149
33,AA22-011A,CVE-2019-11510
33,AA22-011A,CVE-2019-19781
33,AA22-011A,CVE-2020-0688
33,AA22-011A,CVE-2020-4006
33,AA22-011A,CVE-2020-5902
33,AA22-011A,CVE-2020-14882
33,AA22-011A,CVE-2021-26855
33,AA22-011A,CVE-2021-26857
33,AA22-011A,CVE-2021-26858
33,AA22-011A,CVE-2021-27065
33,AA22-011A,CVE-2020-1472
34,AA21-356A,CVE-2021-44228
34,AA21-356A,CVE-2021-45046
34,AA21-356A,CVE-2021-45105
34,AA21-356A,CVE-2021-
35,AA21-336A,CVE-2021-44077
36,AA21-321A,CVE-2021-34473
36,AA21-321A,CVE-2018-13379
36,AA21-321A,CVE-2020-12812
36,AA21-321A,CVE-2019-5591
39,AA21-265A,CVE-2021-34527
39,AA21-265A,CVE-2020-1472
40,AA21-259A,CVE-2021-40539
42,AA21-229A,CVE-2021-22156
43,AA21-209A,CVE-2019-19781
43,AA21-209A,CVE-2017-11882
43,AA21-209A,CVE-2019-11580
43,AA21-209A,CVE-2018-7600
43,AA21-209A,CVE-2019-0604
43,AA21-209A,CVE-2020-0787
43,AA21-209A,CVE-2020-1472
43,AA21-209A,CVE-2019-11510
43,AA21-209A,CVE-2018-13379
43,AA21-209A,CVE-2020-5902
43,AA21-209A,CVE-2020-15505
43,AA21-209A,CVE-2020-0688
43,AA21-209A,CVE-2019-3396
43,AA21-209A,CVE-2021-26855
43,AA21-209A,CVE-2021-26857
43,AA21-209A,CVE-2021-26858
43,AA21-209A,CVE-2021-27065
43,AA21-209A,CVE-2021-22893
43,AA21-209A,CVE-2021-22894
43,AA21-209A,CVE-2021-22899
43,AA21-209A,CVE-2021-22900
43,AA21-209A,CVE-2021-27101
43,AA21-209A,CVE-2021-27102
43,AA21-209A,CVE-2021-27103
43,AA21-209A,CVE-2021-27104
43,AA21-209A,CVE-2021-21985
43,AA21-209A,CVE-2020-12812
43,AA21-209A,CVE-2019-5591
43,AA21-209A,CVE-2019-18935
45,AA21-200B,CVE-2019-11510
45,AA21-200B,CVE-2019-19781
45,AA21-200B,CVE-2020-5902
49,AA21-116A,CVE-2019-19781
50,AA21-110A,CVE-2019-11510
50,AA21-110A,CVE-2020-8260
50,AA21-110A,CVE-2020-8243
50,AA21-110A,CVE-2021-22893
50,AA21-110A,CVE-2021-22894
50,AA21-110A,CVE-2021-22899
50,AA21-110A,CVE-2021-22900
50,AA21-110A,CVE-2021-22984
53,AA21-062A,CVE-2021-26855
53,AA21-062A,CVE-2021-26857
53,AA21-062A,CVE-2021-26858
53,AA21-062A,CVE-2021-27065
54,AA21-055A,CVE-2021-27101
54,AA21-055A,CVE-2021-27102
54,AA21-055A,CVE-2021-27103
54,AA21-055A,CVE-2021-27104
64,AA20-296B,CVE-2020-5902
64,AA20-296B,CVE-2017-9248
65,AA20-296A,CVE-2019-19781
65,AA20-296A,CVE-2020-0688
65,AA20-296A,CVE-2018-13379
65,AA20-296A,CVE-2020-1472
65,AA20-296A,CVE-2019-10149
66,AA20-283A,CVE-2020-1472
66,AA20-283A,CVE-2018-13379
66,AA20-283A,CVE-2020-15505
66,AA20-283A,CVE-2020-1631
66,AA20-283A,CVE-2019-11510
66,AA20-283A,CVE-2019-19781
66,AA20-283A,CVE-2020-2021
66,AA20-283A,CVE-2020-5902
68,AA20-275A,CVE-2012-0158
68,AA20-275A,CVE-2019-19781
68,AA20-275A,CVE-2020-5902
68,AA20-275A,CVE-2019-11510
68,AA20-275A,CVE-2019-16920
68,AA20-275A,CVE-2019-16278
68,AA20-275A,CVE-2019-1652
68,AA20-275A,CVE-2019-1653
68,AA20-275A,CVE-2020-10189
68,AA20-275A,CVE-2020-8193
68,AA20-275A,CVE-2020-8195
68,AA20-275A,CVE-2020-8196
68,AA20-275A,CVE-2019-0708
68,AA20-275A,CVE-2020-15505
68,AA20-275A,CVE-2020-1350
68,AA20-275A,CVE-2020-1472
68,AA20-275A,CVE-2020-1040
68,AA20-275A,CVE-2018-6789
68,AA20-275A,CVE-2020-6789
68,AA20-275A,CVE-2020-0688
68,AA20-275A,CVE-2018-4939
68,AA20-275A,CVE-2015-4852
68,AA20-275A,CVE-2020-2555
68,AA20-275A,CVE-2019-3396
68,AA20-275A,CVE-2019-11580
68,AA20-275A,CVE-2019-18935
68,AA20-275A,CVE-2020-0601
68,AA20-275A,CVE-2019-0803
68,AA20-275A,CVE-2017-6327
68,AA20-275A,CVE-2017-6328
68,AA20-275A,CVE-2020-3118
68,AA20-275A,CVE-2020-8515
69,AA20-266A,CVE-2017-11882
70,AA20-259A,CVE-2019-11510
70,AA20-259A,CVE-2019-11539
70,AA20-259A,CVE-2019-19781
70,AA20-259A,CVE-2020-5902
71,AA20-258A,CVE-2020-5902
71,AA20-258A,CVE-2019-19781
71,AA20-258A,CVE-2019-11510
71,AA20-258A,CVE-2020-0688
76,AA20-209A,CVE-2017-7494
77,AA20-206A,CVE-2020-5902
80,AA20-195A,CVE-2020-6287
83,AA20-133A,CVE-2017-11882
83,AA20-133A,CVE-2017-0199
83,AA20-133A,CVE-2017-5638
83,AA20-133A,CVE-2012-0158
83,AA20-133A,CVE-2019-0604
83,AA20-133A,CVE-2017-0143
83,AA20-133A,CVE-2018-4878
83,AA20-133A,CVE-2017-8759
83,AA20-133A,CVE-2015-1641
83,AA20-133A,CVE-2018-7600
83,AA20-133A,CVE-2019-19781
83,AA20-133A,CVE-2019-11510
84,AA20-126A,CVE-2019-19781
86,AA20-107A,CVE-2019-11510
88,AA20-099A,CVE-2019-19781
91,AA20-031A,CVE-2019-19781
91,AA20-031A,CVE-2019-1
92,AA20-020A,CVE-2019-19781
92,AA20-020A,CVE-2019-
93,AA20-014A,CVE-2020-0601
93,AA20-014A,CVE-2020-0609
93,AA20-014A,CVE-2020-0610
93,AA20-014A,CVE-2020-0611
94,AA20-010A,CVE-2019-11510
96,AA19-339A,CVE-2017-0199
98,AA19-168A,CVE-2019-0708
103,AA18-284A,CVE-2017-3066
110,TA18-141A,CVE-2017-5753
110,TA18-141A,CVE-2017-5715
110,TA18-141A,CVE-2017-5754
110,TA18-141A,CVE-2018-3640
110,TA18-141A,CVE-2018-3639
114,TA18-004A,CVE-2017-5754
114,TA18-004A,CVE-2017-5753
114,TA18-004A,CVE-2017-5715
114,TA18-004A,CVE-2018-1038
118,TA17-181A,CVE-2017-0144
118,TA17-181A,CVE-2017-0145
118,TA17-181A,CVE-2009-3103
119,TA17-164A,CVE-2015-6585
119,TA17-164A,CVE-2015-8651
119,TA17-164A,CVE-2016-0034
119,TA17-164A,CVE-2016-1019
119,TA17-164A,CVE-2016-4117
127,TA16-250A,CVE-2014-3393
127,TA16-250A,CVE-2016-6366
127,TA16-250A,CVE-2016-6367
127,TA16-250A,CVE-2016-6909
127,TA16-250A,CVE-2016-7089
127,TA16-250A,CVE-2016-6415
128,TA16-187A,CVE-2016-2207
128,TA16-187A,CVE-2016-2208
128,TA16-187A,CVE-2016-2209
128,TA16-187A,CVE-2016-2210
128,TA16-187A,CVE-2016-2211
128,TA16-187A,CVE-2016-3644
128,TA16-187A,CVE-2016-3645
137,TA15-213A,CVE-2015-5119
138,TA15-195A,CVE-2015-5119
138,TA15-195A,CVE-2015-5122
138,TA15-195A,CVE-2015-5123
138,TA15-195A,CVE-2015-2387
139,TA15-120A,CVE-2014-3566
140,TA15-119A,CVE-2006-3227
140,TA15-119A,CVE-2008-2244
140,TA15-119A,CVE-2009-3129
140,TA15-119A,CVE-2009-3674
140,TA15-119A,CVE-2010-0806
140,TA15-119A,CVE-2010-3333
140,TA15-119A,CVE-2011-0101
140,TA15-119A,CVE-2012-0158
140,TA15-119A,CVE-2012-1856
140,TA15-119A,CVE-2012-4792
140,TA15-119A,CVE-2013-0074
140,TA15-119A,CVE-2013-1347
140,TA15-119A,CVE-2014-0322
140,TA15-119A,CVE-2014-1761
140,TA15-119A,CVE-2014-1776
140,TA15-119A,CVE-2014-4114
140,TA15-119A,CVE-2012-1723
140,TA15-119A,CVE-2013-2465
140,TA15-119A,CVE-2009-3953
140,TA15-119A,CVE-2010-0188
140,TA15-119A,CVE-2010-2883
140,TA15-119A,CVE-2011-0611
140,TA15-119A,CVE-2011-2462
140,TA15-119A,CVE-2013-0625
140,TA15-119A,CVE-2013-0632
140,TA15-119A,CVE-2013-2729
140,TA15-119A,CVE-2013-3336
140,TA15-119A,CVE-2013-5326
140,TA15-119A,CVE-2014-0564
140,TA15-119A,CVE-2014-0160
142,TA15-103A,CVE-1999-0532
148,TA14-318B,CVE-2014-6332
149,TA14-318A,CVE-2014-6321
152,TA14-300A,CVE-2013-2729
152,TA14-300A,CVE-2010-0188
154,TA14-290A,CVE-2014-3566
154,TA14-290A,CVE-2014-8730
155,TA14-268A,CVE-2014-6271
155,TA14-268A,CVE-2014-7169
155,TA14-268A,CVE-2014-7186
155,TA14-268A,CVE-2014-7187
155,TA14-268A,CVE-2014-6277
155,TA14-268A,CVE-2014-6278
160,TA14-017A,CVE-2013-5211
161,TA14-013A,CVE-2013-5211
169,TA13-193A,CVE-2013-0141
169,TA13-193A,CVE-2013-0140
172,TA13-169A,CVE-2013-1571
174,TA13-141A,CVE-2009-0927
174,TA13-141A,CVE-2010-0188
174,TA13-141A,CVE-2013-0422
180,TA13-064A,CVE-2013-1493
180,TA13-064A,CVE-2013-0809
186,TA13-015A,CVE-2012-4792
187,TA13-010A,CVE-2013-0422
187,TA13-010A,CVE-2012-3174
196,TA12-240A,CVE-2012-4681
199,TA12-174A,CVE-2012-1889
240,TA10-162A,CVE-2010-1297
242,TA10-159A,CVE-2010-1297
251,TA10-012B,CVE-2010-0018
262,TA09-209A,CVE-2008-0015
264,TA09-195A,CVE-2009-1537
264,TA09-195A,CVE-2008-0015
268,TA09-133B,CVE-2009-1492
268,TA09-133B,CVE-2009-1493
275,TA09-051A,CVE-2009-0658
